具体地址,小区名称,格局,总价,每平米价格,朝向,面积,楼层,装修,房屋结构
公路大桥,河曲街,1室1厅,24.5,11617,南,21.09,7,其他,板楼
公路大桥,建国南头道街,2室1厅,45,9514,南 北,47.3,8,简装,板楼
西大桥商圈,欧洲新城,1室0厅,60,13044,南,46,17,简装,板塔结合
哈西商圈,康安家园,2室1厅,76.8,9546,南 北,80.46,7,精装,板楼
兆麟校,买卖街,3室1厅,66,8945,东 西,73.79,7,简装,板楼
建国公园,建国街,2室1厅,58.8,8648,东 西,68,8,简装,板楼
公路大桥,建国南头道街,2室0厅,43.8,7685,南 北,57,8,精装,板塔结合
群力新区,翠湖天地璞园,3室2厅,245,17884,南 北,137,30,毛坯,板楼
中央大街,友谊路,2室1厅,49.5,9812,南 北,50.45,8,简装,板楼
工农大街,报达文化嘉园第一期,2室1厅,72.8,9763,南 北,74.57,7,简装,板楼
群力新区,熙郡印象馨园,1室0厅,58,9831,南,59,32,精装,板楼
群力新区,熙郡印象馨园,1室0厅,58,9851,南,58.88,32,精装,板楼
建国公园,钢铁街住宅小区,2室1厅,51,6660,西,76.58,8,精装,板塔结合
群力新区,大业小区,2室1厅,91.8,7780,南 北,118,7,精装,板塔结合
兆麟校,盛达公寓,3室1厅,140,8750,西北,160,28,简装,板楼
群力新区,大业小区,2室1厅,90,8808,东 南 西,102.19,7,精装,板塔结合
中央大街,西三道街,3室2厅,205,16573,西北,123.7,19,精装,塔楼
安字片,安定街,1室1厅,27,7329,东南,36.84,7,精装,板塔结合
顾乡大街,溪畔嘉园,3室1厅,82.5,8613,南 北,95.79,5,精装,板楼
群力新区,锦江绿色家园,2室1厅,119,11443,南 北,104,7,精装,板楼
群力新区,河鼓街,2室1厅,55,8939,东 西,61.53,7,精装,板楼
群力新区,河松小区二期,2室2厅,92,7360,南 北,125,7,精装,板楼
顾乡大街,乡政街,2室1厅,49.8,8893,东 西,56,8,简装,板楼
群力新区,民生尚都和园,2室1厅,62.5,8334,东 北,75,25,简装,板楼
群力新区,运华广场 道里区,2室2厅,123.5,11027,北 南,112,7,精装,暂无数据
群力新区,外滩首府,2室2厅,240,21514,南 北,111.56,14,毛坯,板楼
群力新区,中兴城,1室1厅,61.8,11709,东,52.78,30,其他,板楼
顾乡大街,康安小区(道里区),2室1厅,24,4800,南,50,7,其他,板楼
顾乡大街,溪畔嘉园,2室1厅,60,7460,南 北,80.43,8,简装,板楼
公路大桥,河阳街,1室1厅,32,7112,东南,45,7,简装,板塔结合
公路大桥,河江街,1室1厅,37,8910,东南,41.53,8,精装,板楼
群力新区,盛和世纪,3室2厅,317.8,19368,南 北,164.09,32,精装,板楼
顾乡大街,美晨家园,2室1厅,86.8,12553,南 北,69.15,7,精装,板塔结合
群力新区,河松小区二期,3室2厅,109,7248,南 北,150.4,7,精装,板楼
群力新区,恒大天地人和,2室1厅,150,15551,南 北,96.46,12,精装,板楼
建国公园,通达馨园,3室1厅,100,7300,北 南,137,7,简装,板楼
群力新区,河政花园（公务员小区）,2室1厅,126,11887,南 北,106,7,精装,板塔结合
顾乡大街,达江小区,2室1厅,55,10129,南,54.3,7,简装,板楼
工农大街,新城小区,1室1厅,36,9224,南,39.03,8,精装,板楼
工农大街,迎宾小区,2室1厅,69,9200,东 西,75,7,精装,板楼
群力新区,海富康城,1室1厅,36.3,9303,南,39.02,6,精装,板塔结合
群力新区,财智公馆,2室1厅,94.8,11392,南,83.22,33,毛坯,板塔结合
安字片,安平街,1室1厅,31,9394,南,33,7,精装,板塔结合
工农大街,群力新苑东区,1室1厅,40,9001,南,44.44,6,毛坯,板楼
工农大街,群力新苑东区,2室1厅,83,11259,东 南,73.72,6,精装,板楼
兆麟校,森林街,1室1厅,29.5,9920,南,29.74,4,简装,板楼
顾乡大街,新华小区(道里区),2室1厅,43,9149,东 西,47,6,简装,板楼
工农大街,群力新苑东区,2室1厅,56.5,10463,南,54,6,精装,板楼
群力新区,华风江畔,2室1厅,107,8493,东 西,126,8,精装,板楼
群力新区,海富康城,2室1厅,97,8509,南 北,114,7,简装,板塔结合
顾乡大街,溪畔嘉园,2室1厅,79,8316,南 北,95,8,精装,板楼
西大桥商圈,欧洲新城,2室1厅,120,10910,南 北,110,14,简装,板塔结合
公路大桥,建国南三道街,2室1厅,42.5,8019,北 南,53,9,简装,板楼
公路大桥,共乐小区,2室1厅,75,8334,南 北,90,8,精装,板塔结合
群力新区,河松小区一期,2室1厅,52,8353,东 西,62.26,7,精装,板楼
安字片,安固街,1室1厅,32.8,8865,南 北,37,5,简装,板楼
群力新区,河政花园（公务员小区）,2室2厅,113,12022,南 北,94,6,精装,板楼
西大桥商圈,欧洲新城,2室2厅,142,13524,南 北,105,20,精装,板塔结合
群力新区,保利上城,3室1厅,143,15793,南 北,90.55,31,精装,板楼
顾乡大街,三精家园,2室1厅,76.8,9722,东 西,79,8,精装,板楼
群力新区,海富康城,2室1厅,78,11308,南 北,68.98,7,精装,板塔结合
工农大街,新城小区,1室1厅,33,8871,西 南,37.2,8,简装,暂无数据
顾乡大街,达江小区,2室1厅,68,9067,南,75,7,简装,板楼
工农大街,漫步·巴黎,1室0厅,70,14584,南,48,17,其他,板楼
工农大街,迎宾小区,2室1厅,53.8,8277,东 西,65,7,简装,板楼
群力新区,外滩首府,2室1厅,205,17825,北 南,115.01,21,其他,板楼
顾乡大街,郁金台,2室1厅,75,10491,西南,71.49,32,精装,板楼
群力新区,海富康城,1室1厅,67.8,10573,南,64.13,7,精装,板塔结合
哈西商圈,恒大悦府,2室1厅,135,12500,南 北,108,25,毛坯,板楼
群力新区,河松小区一期,1室1厅,58,9556,南 北,60.7,7,精装,板楼
兆麟校,公园一品,3室1厅,260,16250,南 北,160,28,精装,板塔结合
群力新区,海富康城,2室1厅,87,10358,南 北,84,7,精装,板塔结合
群力新区,玫瑰湾,2室1厅,155,14091,南,110,29,精装,板楼
中央大街,红霞街,3室1厅,81,9701,南 北,83.5,9,简装,板楼
工农大街,天薇丽景园,2室1厅,105,11756,南 北,89.32,16,精装,板楼
工农大街,天薇丽景园,1室1厅,62,11273,南,55,7,简装,板楼
工农大街,迎宾小区,2室1厅,43.8,8939,南 北,49,7,精装,板楼
群力新区,群力观江国际,3室1厅,265,15531,东 南 北,170.63,30,精装,板楼
群力新区,中海寰宇天下,1室1厅,73.5,19865,西,37,11,精装,板楼
群力新区,河松小区三期,2室1厅,99,7022,南 北,141,7,精装,板楼
工农大街,迎宾小区,2室1厅,56.7,9146,南 北,62,7,精装,板楼
群力新区,星光耀广场,2室1厅,65,15117,东 西南,43,22,精装,板楼
顾乡大街,溪畔嘉园,2室1厅,68,8144,东 西,83.5,8,简装,板楼
顾乡大街,溪畔嘉园,2室1厅,69.8,9827,南 北,71.03,8,精装,板楼
西大桥商圈,欧洲新城,2室1厅,155,12110,南 北,128,25,精装,板楼
公路大桥,建河街,2室0厅,57,9194,南 北,62,8,精装,板塔结合
群力新区,海富康城,2室1厅,79,11500,南 北,68.7,7,精装,板塔结合
建国公园,提拉米苏,2室1厅,132,12816,南 北,103,31,精装,板楼
建国公园,钢铁街住宅小区,2室1厅,58.8,8648,南 北,68,8,精装,板楼
工农大街,漫步·巴黎,1室1厅,107,15619,西南,68.51,19,简装,板楼
工农大街,群力新苑东区,2室1厅,51,10409,南,49,6,毛坯,板楼
顾乡大街,郁金台,1室1厅,69,13873,南,49.74,18,精装,板塔结合
群力新区,恒盛皇家花园,2室1厅,146,15699,南,93,32,精装,板楼
工农大街,报达文化嘉园第一期,2室1厅,92,10790,南 西 北,85.27,7,精装,板楼
群力新区,河松小区一期,2室1厅,51,10625,南 北,48,8,简装,板楼
工农大街,漫步·巴黎,2室1厅,98,14397,西北,68.07,17,精装,板楼
安字片,安德街,2室2厅,43,8600,东 西,50,8,简装,板塔结合
哈西商圈,红星城,1室1厅,58,10358,西北,56,27,精装,板楼
顾乡大街,康安小区(道里区),1室1厅,33.8,9261,南,36.5,7,简装,板楼
工农大街,翡翠城,1室1厅,79.8,13778,南 西,57.92,24,精装,板楼
安字片,安顺街,2室0厅,18,5084,西,35.41,7,简装,板楼
工农大街,翡翠城,1室1厅,79.8,13503,西南,59.1,32,简装,板塔结合
群力新区,中海寰宇天下,2室1厅,133.4,15047,南 北,88.66,26,毛坯,板楼
工农大街,翡翠城,2室1厅,83.5,12790,东北,65.29,32,简装,板楼
群力新区,群力观江国际,2室2厅,200,17483,南 北,114.4,30,精装,板楼
工农大街,群力新苑西区,2室1厅,72,11429,南 北,63,7,精装,板楼
群力新区,河松小区一期,2室1厅,43,8600,南,50,8,精装,板塔结合
公路大桥,光华小区,2室1厅,38.5,9287,南 北,41.46,7,简装,板楼
顾乡大街,美晨家园,1室1厅,69.8,11634,西南,60,7,精装,板塔结合
顾乡大街,乡社街西区,2室1厅,38,8736,南,43.5,7,精装,板塔结合
顾乡凯德广场,天合小区,2室1厅,52,9630,南 北,54,7,简装,板楼
工农大街,天薇丽景园,1室1厅,65,11691,南,55.6,7,简装,板楼
群力新区,海富御园,3室2厅,190,16240,南 北,117,9,精装,板楼
工农大街,群力新苑东区,1室1厅,52,10400,南,50,6,毛坯,板楼
中央大街,红专街,1室1厅,30,7500,南,40,7,简装,板楼
西大桥商圈,欧洲新城,2室1厅,141.5,12864,南 北,110,27,精装,板塔结合
群力新区,群力家园k区,2室1厅,131,10917,南 北,120,26,简装,板楼
顾乡大街,康安小区(道里区),2室1厅,63,7875,南 北,80,8,精装,板楼
公路大桥,华侨小区,2室1厅,54,9113,南,59.26,7,简装,板楼
工农大街,群力新苑东区,2室1厅,72.8,11375,南 北,64,6,精装,板楼
顾乡大街,康安小区(道里区),1室1厅,29.8,9178,南,32.47,8,精装,板楼
建国公园,通达馨园,3室1厅,102,7446,南 北,137,7,精装,板楼
安字片,经纬十道街,2室1厅,44.5,9626,西北,46.23,8,简装,板塔结合
群力新区,河政花园（公务员小区）,2室1厅,89.8,9164,南 北,98,7,简装,板塔结合
顾乡大街,新天地家园,2室1厅,88,8686,南 北,101.32,7,简装,板楼
公路大桥,建国北头道街,2室0厅,39,7960,南 北,49,7,简装,板楼
工农大街,理想0451,1室1厅,62,11812,南,52.49,32,精装,暂无数据
西大桥商圈,民众小区,2室1厅,27,6095,西南,44.3,7,简装,板楼
工农大街,天薇丽景园,2室1厅,108,11713,西 北,92.21,16,简装,板楼
群力新区,海富康城,1室1厅,65,10292,南,63.16,7,简装,板楼
群力新区,盛和世纪,2室1厅,268,18112,南 北,147.97,30,精装,板楼
工农大街,翡翠城,2室1厅,93.8,11725,东 西,80,32,精装,板楼
工农大街,翡翠城,2室1厅,80,13817,西南,57.9,24,精装,板楼
工农大街,新城小区,1室1厅,40.8,10875,南,37.52,8,简装,板楼
顾乡大街,美晨家园,2室1厅,61.8,11885,南 北,52,7,简装,板塔结合
工农大街,迎宾小区,2室1厅,56.8,10717,东 西,53,7,其他,板楼
群力新区,中海寰宇天下,2室1厅,67,18109,东,37,11,精装,板楼
工农大街,群力新苑东区,1室1厅,47,11062,南,42.49,6,简装,板楼
建国公园,爱丁堡,2室1厅,70,12005,南,58.31,32,精装,板塔结合
群力新区,恒盛皇家花园,1室1厅,62.5,13889,南,45,23,简装,板楼
群力新区,三松宜家,2室1厅,115,11881,南 北,96.8,29,精装,板楼
工农大街,群力新苑东区,1室1厅,60,11112,南,54,6,精装,板楼
工农大街,群力新苑东区,1室1厅,45,10601,南,42.45,6,简装,板楼
群力新区,招商贝肯山二期,2室1厅,166,18044,南 北,92,30,其他,板楼
群力新区,中兴城,2室1厅,58,11118,南,52.17,30,精装,板楼
工农大街,迎宾小区,1室1厅,31.5,8514,西,37,7,其他,板楼
群力新区,海富康城,2室1厅,58,10358,南 北,56,6,简装,板塔结合
群力新区,远大·都市明珠南区,1室1厅,100,11112,南 北,90,17,精装,板楼
顾乡大街,康安小区(道里区),2室1厅,47,8868,南,53,7,简装,板楼
团结萧红校哈站北秀宾馆,地德里小区(抚顺街),2室1厅,47.2,8906,南 北,53,8,简装,板楼
顾乡大街,美晨家园,2室1厅,106,12772,南 北,83,7,精装,板塔结合
工农大街,迎宾小区,2室1厅,48.5,9700,东 西,50,7,简装,板楼
群力新区,河松小区一期,2室1厅,52,10400,南 北,50,7,简装,板楼
顾乡大街,溪畔嘉园,2室1厅,67.7,9235,东 南,73.31,8,精装,板楼
工农大街,迎宾小区,2室1厅,56.6,9279,南,61,7,毛坯,板楼
顾乡凯德广场,天合俊景,2室1厅,85,11039,西南,77,32,简装,板塔结合
群力新区,群力家园A区,2室1厅,125,10965,南 北,114,26,其他,板楼
顾乡大街,乡社街西区,2室1厅,38,7735,东南,49.13,8,简装,板塔结合
工农大街,理想0451,2室1厅,65,11207,南,58,25,毛坯,暂无数据
中央大街,红专街,2室1厅,88,9778,南 北,90,7,精装,板楼
顾乡大街,电炉小区,2室1厅,66,9042,南 北,73,8,简装,板楼
群力新区,群力家园k区,2室1厅,133,11787,南 北,112.84,26,精装,板楼
工农大街,宜居家园,2室1厅,29,4865,东 西,59.61,7,简装,塔楼
工农大街,翡翠城,1室1厅,78,13203,南,59.08,32,精装,板塔结合
顾乡大街,新天地家园,2室1厅,85,8509,南 北 东,99.9,7,简装,板楼
公路大桥,光华小区,1室0厅,25.8,7819,南,33,7,其他,板楼
工农大街,天薇丽景园,2室1厅,99.9,11483,东 南 北,87,14,毛坯,板楼
群力新区,海富臻园,2室1厅,118,15274,南 北,77.26,21,其他,板楼
顾乡大街,美晨家园,2室1厅,123,10885,南 北,113,18,精装,板塔结合
公路大桥,河广街,2室1厅,65,9254,南 北,70.24,8,简装,板塔结合
群力新区,远大·都市明珠南区,1室1厅,85,12932,南,65.73,17,其他,板楼
公路大桥,河阳街,2室1厅,40,7693,南,52,7,其他,板塔结合
安字片,经纬十道街,2室1厅,58,11908,南 北,48.71,8,其他,板塔结合
顾乡凯德广场,南方花园,2室1厅,92.8,9010,南 北,103,8,简装,暂无数据
公路大桥,民安小区(道里区),1室1厅,23,7335,东南,31.36,7,简装,板楼
安字片,安吉街,3室1厅,71.8,9004,南 北,79.75,8,简装,板楼
安字片,安定街,2室1厅,39,6622,南 北,58.9,8,精装,板塔结合
公路大桥,建国北四道街,1室1厅,24.8,8000,东南,31,8,简装,板楼
公路大桥,河江小区,2室1厅,54.8,8839,东 西,62,3,简装,板楼
群力新区,河源小区,3室2厅,145,11694,南 北,124,7,精装,板楼
群力新区,海富禧园,2室1厅,88,13334,西,66,14,简装,板楼
中央大街,中医街,2室1厅,41,6950,南 北,59,4,简装,板楼
顾乡凯德广场,湖景春晓,1室1厅,75,11767,南,63.74,29,其他,板楼
顾乡大街,郁金台,2室1厅,119,12566,南 北,94.7,18,精装,板塔结合
群力新区,恒盛豪庭,3室2厅,273,16653,南 北,163.94,30,其他,板楼
工农大街,新城花园,2室1厅,125,11235,南 北 东,111.26,6,其他,板楼
群力新区,富力江湾新城,4室2厅,450,23698,南 北,189.89,20,精装,板塔结合
公路大桥,哈药路,2室1厅,40,5721,南 北,69.92,7,简装,板楼
公路大桥,光华小区,3室1厅,75,7215,东 西,103.96,6,简装,板塔结合
西大桥商圈,欧洲新城,1室1厅,70.5,13781,东南,51.16,17,简装,板塔结合
顾乡大街,达江小区,3室1厅,99.8,6654,南 北,150,7,简装,板楼
爱建,爱建紫园,2室1厅,245,13842,南 北,177,30,精装,板楼
安字片,安道街,2室1厅,62,7334,南 北,84.54,7,简装,板楼
建国公园,正阳花园,3室1厅,125,10081,南 北,124,7,简装,板楼
安字片,安定街,2室1厅,55,8731,南 北,63,7,简装,板塔结合
中央大街,西三道街,3室1厅,248,20000,东北,124,19,精装,塔楼
爱建,锦园,3室2厅,280,17228,南 北,162.53,26,精装,塔楼
工农大街,天昊百年俪景,3室1厅,240,16053,南 北,149.51,32,其他,板楼
公路大桥,金凯国际,2室1厅,145,11130,南 北,130.29,30,简装,板塔结合
顾乡凯德广场,南方花园,2室1厅,86.8,11719,南 北,74.07,7,其他,板楼
爱建,爱建紫园,2室2厅,200,14815,南,135,18,简装,板楼
群力新区,锦江绿色家园,3室1厅,175,9913,东 南 北,176.54,16,简装,板楼
兆麟校,买卖街,3室1厅,78.5,9813,东 西,80,8,简装,板楼
群力新区,三松宜家,3室3厅,231,17540,南 北 东,131.7,33,其他,暂无数据
群力新区,三松宜家,1室1厅,102,13600,南,75,27,精装,塔楼
中央大街,东风街,2室1厅,52.5,9891,南 北,53.08,7,其他,板楼
哈西商圈,恒祥城二期,2室1厅,181,13461,南 北,134.47,32,其他,板楼
中央大街,红霞街,2室1厅,85,10536,南 北,80.68,5,其他,暂无数据
群力新区,康泰嘉园,3室1厅,150,10964,东 南 北,136.82,24,简装,板楼
顾乡大街,新华小区(道里区),3室1厅,75,8153,南 北,92,8,简装,板楼
中央大街,东风街,2室1厅,33.5,6381,南 北,52.5,7,简装,板楼
安字片,安隆街,1室1厅,25,6757,南,37,7,简装,板塔结合
工农大街,群力新苑东区,2室1厅,47.5,8829,西,53.8,6,简装,板楼
兆麟校,哈威广场威乐斯大厦99号公馆,1室0厅,59.8,13530,南,44.2,38,精装,塔楼
顾乡大街,新天地家园,3室2厅,125,9548,南 西,130.92,7,精装,板楼
中央大街,龙电大厦,2室2厅,150,10715,西,140,27,精装,板塔结合
公路大桥,建国南头道街,2室1厅,55,6583,南 北,83.56,8,其他,板塔结合
群力新区,财智公馆,3室2厅,180,10785,南 北,166.91,32,简装,板楼
公路大桥,宏光大厦,3室2厅,175,10017,南 北,174.72,22,简装,板楼
西大桥商圈,聚贤花园,3室2厅,138,9644,南 北,143.1,6,精装,板楼
西大桥商圈,欧洲新城,2室1厅,159,13590,南 北,117,14,精装,板塔结合
群力新区,财智公馆,2室1厅,190,14961,南,127,33,精装,板楼
中央大街,巡船胡同,3室1厅,160,12904,东 西,124,8,精装,板楼
中央大街,友谊路,3室2厅,96,7896,南 北,121.59,8,精装,板楼
群力新区,财智公馆,3室2厅,238,15867,东 南 北,150,33,简装,板楼
兆麟校,森林街,3室1厅,130,11017,东 西,118,8,简装,板楼
公路大桥,共乐小区,3室1厅,100,7875,南 北,127,8,精装,板楼
安字片,安心街,2室0厅,33,6875,南 北,48,7,简装,板楼
公路大桥,哈药路,2室2厅,86,9248,南 北,93,8,精装,板楼
顾乡大街,康安小区(道里区),3室1厅,85,9341,南 北,91,7,简装,板楼
建国公园,松滨里小区,2室1厅,48.8,8715,东 西,56,9,简装,板楼
安字片,安德街,1室1厅,42,9768,南,43,8,精装,板楼
公路大桥,宝宇凯旋城一期,2室1厅,145,14078,南 北,103,31,简装,板塔结合
西大桥商圈,欧洲新城,2室1厅,146,12167,北 南,120,27,简装,板塔结合
爱建,中兴家园,2室1厅,96,11429,东 南 西,84,32,精装,板塔结合
建国公园,紫金城,1室1厅,80,11977,南,66.8,32,精装,板楼
建国公园,松树街,2室1厅,42,7500,南 西,56,6,简装,板塔结合
公路大桥,共乐西头道街,2室1厅,75.8,8240,南,92,7,简装,板楼
群力新区,河政花园（公务员小区）,2室1厅,120,12766,东 西,94,6,精装,板楼
团结萧红校哈站北秀宾馆,地德里小区(抚顺街),2室1厅,79.9,10983,西北,72.75,18,简装,板塔结合
爱建,中兴家园,2室2厅,146.8,14710,南 西 北,99.8,32,精装,板塔结合
顾乡凯德广场,南方花园,3室1厅,128,10579,南 北,121,8,精装,板楼
安字片,安定街,2室1厅,68.8,9663,南 北,71.2,8,精装,板塔结合
公路大桥,民安小区(道里区),2室1厅,43,5658,南 北,76,7,精装,板楼
中央大街,红专街,2室1厅,49.8,10596,西,47,7,简装,板楼
哈西商圈,恒祥城一期,2室1厅,180,13392,南 北,134.41,32,精装,板楼
公路大桥,阳明街,2室1厅,58,10000,南 北,58,8,精装,板楼
兆麟校,森林街,2室0厅,78,16961,南,45.99,8,精装,板楼
顾乡凯德广场,祥泰人家,2室2厅,112,9697,西南 北,115.5,12,精装,板塔结合
安字片,安松胡同,1室1厅,46,7808,东 西,58.92,7,精装,板楼
工农大街,迎宾小区,2室1厅,108,7889,西北,136.9,18,简装,板塔结合
西大桥商圈,欧洲新城,3室2厅,209,11902,南 北,175.61,26,精装,板塔结合
公路大桥,通达世家,3室2厅,210,11230,东 南 北,187,16,精装,塔楼
顾乡大街,康安小区(道里区),2室2厅,81.5,6849,南 北,119,7,精装,板楼
工农大街,漫步·巴黎,3室1厅,203,14998,南 北,135.36,10,精装,板楼
安字片,安定街,3室1厅,62,6001,北 南,103.33,8,简装,板塔结合
哈西商圈,恒祥城一期,2室1厅,175,13359,南 北,131,30,精装,板楼
哈西商圈,恒祥城一期,2室2厅,89,13143,东南,67.72,32,其他,板塔结合
工农大街,上和园著,3室2厅,400,27564,南 北,145.12,6,其他,板楼
群力新区,海富第五大道,5室2厅,350,23592,南 北,148.36,7,其他,板楼
公路大桥,共乐西二道街,3室1厅,115,8243,南 北,139.52,2,其他,板楼
公路大桥,建化街,3室1厅,43.8,4300,西 南 东,101.87,8,其他,板楼
建国公园,钢铁街住宅小区,3室1厅,65,4540,南 北,143.2,9,其他,板楼
工农大街,翡翠城,2室1厅,158,14379,南 北,109.89,32,精装,板楼
顾乡大街,达江小区,1室1厅,63,11018,南,57.18,7,精装,板楼
团结萧红校哈站北秀宾馆,地德里小区(抚顺街),1室1厅,20,6061,南,33,8,简装,板楼
顾乡大街,新华街,1室1厅,26,8070,南 北,32.22,7,简装,板楼
群力新区,河鼓街,1室0厅,26,7470,东,34.81,9,简装,板楼
中央大街,巡船胡同,2室1厅,45,10976,南 西北,41,7,简装,板楼
西大桥商圈,欧洲新城,3室1厅,50,3049,南 北,164,8,简装,板塔结合
西大桥商圈,欧洲新城,3室1厅,50,3125,南 北,160,8,简装,板塔结合
安字片,安国街,2室1厅,43,9149,南,47,8,简装,板楼
建国公园,丁香名苑,2室1厅,98,9075,南 北,108,8,简装,板楼
兆麟校,买卖街,3室1厅,69.8,7609,南 北,91.74,8,其他,板楼
顾乡大街,新华街,1室1厅,56,9334,南 西,60,7,其他,暂无数据
工农大街,翡翠城,2室1厅,145,12394,南 北,117,32,其他,板楼
群力新区,群力新城南区,2室1厅,226,16993,南 北,133,32,其他,板楼
顾乡大街,都市秀景,2室1厅,58,10741,西,54,8,其他,板楼
中央大街,荣耀世纪,3室3厅,260,13687,东 西 北,189.97,20,简装,板楼
哈西商圈,恒祥城一期,2室1厅,170,14167,东 西,120,32,简装,板楼
群力新区,康泰嘉园,3室1厅,160,12904,东 南,124,24,精装,板楼
公路大桥,光华小区,3室2厅,108,8640,南 北,125,8,简装,板楼
中央大街,尚志胡同,2室1厅,85,12143,南 北,70,7,简装,板楼
建国公园,通达馨园,2室1厅,99,7055,南 北,140.33,7,精装,板塔结合
安字片,安宁街,2室1厅,82.8,8400,南,98.58,7,简装,暂无数据
公路大桥,宝宇凯旋城一期,3室2厅,268,14106,南 北,190,31,精装,板楼
爱建,工程小区,3室1厅,93,11342,西北,82,7,简装,板楼
群力新区,招商贝肯山二期,2室2厅,188,17571,南 北,107,7,其他,板楼
群力新区,招商贝肯山二期,2室2厅,188,17408,南 北,108,7,毛坯,板楼
工农大街,武警指挥学院家属楼,2室1厅,64,7530,南 北,85,8,其他,塔楼
群力新区,中海·紫御观邸,3室2厅,239,17446,南 北,137,2,毛坯,板楼
哈西商圈,恒祥城一期,2室1厅,178,13588,南 北,131,32,简装,板楼
兆麟校,西十五道街,3室1厅,100,10000,南 北,100,7,简装,暂无数据
兆麟校,地段街,3室2厅,189.9,13469,南 北,141,8,简装,塔楼
建国公园,通达馨园,3室2厅,126.8,7246,南 北,175,7,精装,板楼
中央大街,江畔戎庭,3室1厅,285,17273,东南,165,34,简装,塔楼
群力新区,群力观江国际,3室2厅,385,21509,西南,179,30,精装,板楼
建国公园,松苍小区,3室1厅,93,6848,东 西,135.82,8,简装,板楼
兆麟校,买卖街,2室2厅,140,13334,西,105,26,精装,板楼
公路大桥,通达世家,2室1厅,168,12174,南 北,138,12,精装,板塔结合
